Polling station code,File
01-011-0076,https://elections2020by.s3.eu-north-1.amazonaws.com/w8dexz6blfyomoivta7vh2eqnfww
01-011-0077,https://elections2020by.s3.eu-north-1.amazonaws.com/n91l0egs6mcyi25zgkvyk9r4p4ik
01-011-0077,https://elections2020by.s3.eu-north-1.amazonaws.com/oz74exyce71z0umf2yj4312ecyvp
01-011-0077,https://elections2020by.s3.eu-north-1.amazonaws.com/733446c0msjjit0on63e5drfspsk
01-011-0078,https://elections2020by.s3.eu-north-1.amazonaws.com/m2d962kwd7mainpcyj7rbgovug1t
01-011-0079,https://elections2020by.s3.eu-north-1.amazonaws.com/be9aqza81rag14avnl57l4bskht5
01-011-0079,https://elections2020by.s3.eu-north-1.amazonaws.com/4qzgomv3yx3yj5xpwlrmxazl1jnh
01-011-0080,https://elections2020by.s3.eu-north-1.amazonaws.com/1034_5303d7aa2dc3fca2b5a1
01-011-0080,https://elections2020by.s3.eu-north-1.amazonaws.com/1034_556925700a815d0ba76d
01-011-0081,https://elections2020by.s3.eu-north-1.amazonaws.com/i9q0q8knmbvb5l6lid5blzhsg94u
01-011-0081,https://elections2020by.s3.eu-north-1.amazonaws.com/6ii38uik73li424be29z793zgu3h
01-011-0087,https://elections2020by.s3.eu-north-1.amazonaws.com/1041_403efdbbe0418b6984fe
01-011-0087,https://elections2020by.s3.eu-north-1.amazonaws.com/1041_794935288ce344eb0c64
01-011-0088,https://elections2020by.s3.eu-north-1.amazonaws.com/1042_8ce3e9fc7336773808dd
01-011-0089,https://elections2020by.s3.eu-north-1.amazonaws.com/4gio0wfqq68lkk292dfrgju5s84p
01-047-0004,https://elections2020by.s3.eu-north-1.amazonaws.com/r7v6wo8j8tho6u3mqwzedouqvlq9
01-047-0004,https://elections2020by.s3.eu-north-1.amazonaws.com/npkhu4mykpejqk8en723o1ubt2ke
01-047-0006,https://elections2020by.s3.eu-north-1.amazonaws.com/h9rafsrceveun4exktmv4ybp83jx
01-047-0009,https://elections2020by.s3.eu-north-1.amazonaws.com/2c42b4fb-8fdb-44a1-a6f0-1b2628128d5d
01-047-0012,https://elections2020by.s3.eu-north-1.amazonaws.com/2grz7k2z72525zsbbsy4dvpd3yk8
01-047-0014,https://elections2020by.s3.eu-north-1.amazonaws.com/p7owqwm6f7kte748qyysl0we5dws
01-047-0017,https://elections2020by.s3.eu-north-1.amazonaws.com/l4fg3l1qlc9reoa5pjrq284nvof7
01-047-0019,https://elections2020by.s3.eu-north-1.amazonaws.com/bvup9s7i7fay7pfffvfjdooz8ndx
01-047-0022,https://elections2020by.s3.eu-north-1.amazonaws.com/q5vfnhl14xdvrw4mgxqum8ocfssi
01-047-0023,https://elections2020by.s3.eu-north-1.amazonaws.com/f849xc1ocava2u61sshzty1zdstz
01-047-0026,https://elections2020by.s3.eu-north-1.amazonaws.com/867_ddc821e54ea40676cfd8
01-047-0028,https://elections2020by.s3.eu-north-1.amazonaws.com/70655261-284d-4e36-aa6d-f15c86c5a3a3
01-047-0028,https://elections2020by.s3.eu-north-1.amazonaws.com/6bacdcfe-a4a0-46ee-a966-9161394ba71e
01-047-0030,https://elections2020by.s3.eu-north-1.amazonaws.com/6l8eolf9asvwka5zb81g42iatm8t
01-047-0034,https://elections2020by.s3.eu-north-1.amazonaws.com/875_6294a9f946fd5ba79b96
01-047-0034,https://elections2020by.s3.eu-north-1.amazonaws.com/875_fbe9120741603b3ac0d4
01-047-0039,https://elections2020by.s3.eu-north-1.amazonaws.com/121yrsy1o7yx2aol7j3ijrfvld35
01-047-0040,https://elections2020by.s3.eu-north-1.amazonaws.com/b3deebda-bdaa-49d0-9b62-86a87a39a0a3
01-047-0040,https://elections2020by.s3.eu-north-1.amazonaws.com/3bd2140b-2b2d-4905-84e9-996401352207
01-047-0042,https://elections2020by.s3.eu-north-1.amazonaws.com/d1amwnt5urnwdkpzw6kc1euwkdf1
01-047-0043,https://elections2020by.s3.eu-north-1.amazonaws.com/884_8132fa85fd4c2e5b3f59
01-047-0045,https://elections2020by.s3.eu-north-1.amazonaws.com/886_41fb7222db34bf310d25
01-047-0046,https://elections2020by.s3.eu-north-1.amazonaws.com/e769cnonxxqe3dghrjhoqg7k8z7f
01-047-0047,https://elections2020by.s3.eu-north-1.amazonaws.com/888_4b5e2d9a18bf9f552e2f
01-047-0048,https://elections2020by.s3.eu-north-1.amazonaws.com/8vbsuo0585or5r6y6mp5zonwiso3
01-047-0054,https://elections2020by.s3.eu-north-1.amazonaws.com/6xz0g4via7nre7v1ps659dj7ri3z
01-047-0054,https://elections2020by.s3.eu-north-1.amazonaws.com/eqodvsdidvidzzj17a0md18olkrw
01-047-0056,https://elections2020by.s3.eu-north-1.amazonaws.com/897_a34afe92f999c3dc0a83
01-047-0056,https://elections2020by.s3.eu-north-1.amazonaws.com/897_f9c0fa59d79c922bc7dc
01-047-0057,https://elections2020by.s3.eu-north-1.amazonaws.com/898_01a637823040634f0cf7
01-047-0057,https://elections2020by.s3.eu-north-1.amazonaws.com/898_3b15cda1ca5493b0356c
01-047-0060,https://elections2020by.s3.eu-north-1.amazonaws.com/1746f0e5-d90d-4d0d-a342-4b841d87bf9e
01-047-0060,https://elections2020by.s3.eu-north-1.amazonaws.com/b7992eec-d7a5-4c09-81cb-bc2144db2b1a
01-047-0062,https://elections2020by.s3.eu-north-1.amazonaws.com/903_10352e2dfbcdb1e200a5
01-047-0062,https://elections2020by.s3.eu-north-1.amazonaws.com/903_2edef47b21dd06ac9261
01-049-0004,https://elections2020by.s3.eu-north-1.amazonaws.com/u2xdc7cfpnon77dsbkgxth62ih5u
01-049-0004,https://elections2020by.s3.eu-north-1.amazonaws.com/u6q4qyhegnaulobefolxt2955ox1
01-049-0006,https://elections2020by.s3.eu-north-1.amazonaws.com/v5bhs6il5eggudm4ri9jdkhrdptp
01-049-0008,https://elections2020by.s3.eu-north-1.amazonaws.com/sxf8dkehz7jqmuttio965sryuqbp
01-049-0008,https://elections2020by.s3.eu-north-1.amazonaws.com/oe514pibj3htsixl8qgjlwpu619a
01-049-0013,https://elections2020by.s3.eu-north-1.amazonaws.com/btvfnte32wynluhi8z9kiczyqyr3
01-049-0013,https://elections2020by.s3.eu-north-1.amazonaws.com/88clrrwdtnlfw44hztmar17b5crz
01-049-0014,https://elections2020by.s3.eu-north-1.amazonaws.com/mdxzzfafwze9idqtsq4214x41m06
01-049-0014,https://elections2020by.s3.eu-north-1.amazonaws.com/4zms28ks1d7lz49lolngqlfp615v
01-049-0015,https://elections2020by.s3.eu-north-1.amazonaws.com/rwhnh0nn8gqqo8sj86yuxpextyb6
01-049-0015,https://elections2020by.s3.eu-north-1.amazonaws.com/73mx2jh0g49mflaoe20ziwzurwk0
01-049-0015,https://elections2020by.s3.eu-north-1.amazonaws.com/4n0yhurmoit8151fkcsw6h7w7rwp
01-049-0030,https://elections2020by.s3.eu-north-1.amazonaws.com/16s1o50f31tnqjvaa2mhlnewamt6
01-049-0030,https://elections2020by.s3.eu-north-1.amazonaws.com/xu7gx9xkz60j0rj3h2tt8c3vz1qt
01-050-0001,https://elections2020by.s3.eu-north-1.amazonaws.com/5fa3226a-68ed-4a77-9006-c36e2e7d9a21
01-050-0004,https://elections2020by.s3.eu-north-1.amazonaws.com/zhun3b1frpwqen3kifufhm3ma7yt
01-050-0004,https://elections2020by.s3.eu-north-1.amazonaws.com/1221_dd1a5bd3d2bad7502c25
01-050-0011,https://elections2020by.s3.eu-north-1.amazonaws.com/t1hyb63xk137ai31vmcohpyfijz8
01-051-0003,https://elections2020by.s3.eu-north-1.amazonaws.com/757wb6ehicd4wl9iery3clbza4n3
01-052-0007,https://elections2020by.s3.eu-north-1.amazonaws.com/c9j5qp8yzwvq8b7vk7dlm087c1ks
01-053-0021,https://elections2020by.s3.eu-north-1.amazonaws.com/2gnm81ye52pp1kucjhfdqrg90gz0
01-054-0001,https://elections2020by.s3.eu-north-1.amazonaws.com/drpy035rfogk09v58rfjqihuaeom
01-054-0005,https://elections2020by.s3.eu-north-1.amazonaws.com/bp395po4udjiyxmcvvhz6x6u58lg
01-054-0009,https://elections2020by.s3.eu-north-1.amazonaws.com/1339_05d00bc3f36de9436248
01-054-0009,https://elections2020by.s3.eu-north-1.amazonaws.com/1339_3970f6813633ce07ad5a
01-054-0010,https://elections2020by.s3.eu-north-1.amazonaws.com/1340_ba608f6abe99b8aa9354
01-054-0010,https://elections2020by.s3.eu-north-1.amazonaws.com/1340_c038211ce013269ca5ef
01-054-0010,https://elections2020by.s3.eu-north-1.amazonaws.com/fsj9noptmglgzjqasqhwlxhv6lgm
01-054-0026,https://elections2020by.s3.eu-north-1.amazonaws.com/awew4me16aczdn11m87vwn9ebuum
01-054-0043,https://elections2020by.s3.eu-north-1.amazonaws.com/kk0oe8kgaa9zsinyua4v5pp5u58v
01-054-0043,https://elections2020by.s3.eu-north-1.amazonaws.com/cgf68oairkno66qjtwpntj4mmgwp
01-055-0002,https://elections2020by.s3.eu-north-1.amazonaws.com/6a170d78-98b2-4bc4-8c11-6674b743f15e
01-055-0003,https://elections2020by.s3.eu-north-1.amazonaws.com/nf9zcragmo79ukkmg9d4oje2ygwb
01-055-0004,https://elections2020by.s3.eu-north-1.amazonaws.com/1378_0f212cf978c0a184f80a
01-055-0010,https://elections2020by.s3.eu-north-1.amazonaws.com/h12wnjsdo4g4udbsqt6cmitgla5m
01-055-0017,https://elections2020by.s3.eu-north-1.amazonaws.com/6332f081-9250-49a7-85ac-3eb0f052aa9d
01-055-0032,https://elections2020by.s3.eu-north-1.amazonaws.com/1406_c7a883b79b6bb631abd9
01-056-0005,https://elections2020by.s3.eu-north-1.amazonaws.com/clnjx894q57q1guftekvoktm28q2
01-056-0007,https://elections2020by.s3.eu-north-1.amazonaws.com/1417_7f1ec102b3d468d037fb
01-056-0007,https://elections2020by.s3.eu-north-1.amazonaws.com/1417_cbc0e743ee268aa7bf47
01-056-0007,https://elections2020by.s3.eu-north-1.amazonaws.com/w5ds9u0g2ftuxshmchi5eyzcmcxj
01-056-0010,https://elections2020by.s3.eu-north-1.amazonaws.com/6lzypbfxszmj6bt3nwlcexs1u5ew
01-056-0013,https://elections2020by.s3.eu-north-1.amazonaws.com/d48b44fd-cfb1-44da-afa8-87c5648c8fa5
01-056-0017,https://elections2020by.s3.eu-north-1.amazonaws.com/k4aigqxyc1ja68m1kvaxxlg4s38u
01-056-0017,https://elections2020by.s3.eu-north-1.amazonaws.com/v0tg3kj8n0mu003whcfygsn88c4d
01-056-0019,https://elections2020by.s3.eu-north-1.amazonaws.com/35b037e0-9732-4106-953a-dff2fc3c98fd
01-056-0020,https://elections2020by.s3.eu-north-1.amazonaws.com/xzvjas03k5urm1hiarnarnx0o51a
01-056-0021,https://elections2020by.s3.eu-north-1.amazonaws.com/9y5cx3i6osex9hx0pzpsgujotw70
01-056-0024,https://elections2020by.s3.eu-north-1.amazonaws.com/99vg99i9wllfohgzp7x6raxqqdob
01-056-0042,https://elections2020by.s3.eu-north-1.amazonaws.com/c2yg9jj9pepo2g6nf9mrilyd2qe0
01-056-0043,https://elections2020by.s3.eu-north-1.amazonaws.com/0c6vu7g67nefc8k377au6m89s42v
01-056-0048,https://elections2020by.s3.eu-north-1.amazonaws.com/75mlhyg83c9rs8qdechqcc41qrq8
01-056-0048,https://elections2020by.s3.eu-north-1.amazonaws.com/1458_2f537ad0c1c5636f3dae
01-057-0002,https://elections2020by.s3.eu-north-1.amazonaws.com/pnuey0xne8210oba4pp1jhs3qtfz
01-057-0025,https://elections2020by.s3.eu-north-1.amazonaws.com/398e6963-3985-4a7e-a8aa-360d4d846252
01-057-0037,https://elections2020by.s3.eu-north-1.amazonaws.com/1506_79b98bfc0f045b0819e7
01-058-0001,https://elections2020by.s3.eu-north-1.amazonaws.com/54e20c74-f75d-4e9d-8389-80ec33282292
01-058-0008,https://elections2020by.s3.eu-north-1.amazonaws.com/wa0pi8fo7t1lvg3jiq2pvxyim26r
01-060-0010,https://elections2020by.s3.eu-north-1.amazonaws.com/sjthpb8od9jw3at1yskbykazl7vv
01-060-0028,https://elections2020by.s3.eu-north-1.amazonaws.com/pf7da3unkfe99sxup5pgaerrmhqi
01-060-0033,https://elections2020by.s3.eu-north-1.amazonaws.com/t8wc9wwpojzbhcydjkpxnpwrzkll
01-060-0034,https://elections2020by.s3.eu-north-1.amazonaws.com/m0nxzuxdxno52z9zvas71hz2laiz
01-060-0040,https://elections2020by.s3.eu-north-1.amazonaws.com/1083_21cc14f9c4b90c237b77
01-060-0042,https://elections2020by.s3.eu-north-1.amazonaws.com/a8k44pwyujl68vmokifs70eyiihf
01-060-0044,https://elections2020by.s3.eu-north-1.amazonaws.com/1087_013ed1338f35b512e44c
01-060-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/ta1oq3poe85of9ohusziaqgbajwx
01-060-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/ceagl68362jjsm8tz8zk1wa87mxs
01-060-0049,https://elections2020by.s3.eu-north-1.amazonaws.com/wvb1ckcc2jfhf7dqb2k0f6vj6zwn
